region1,region2,strength
R_caudalmiddlefrontal,R_superiorfrontal,11.1570
R_caudalmiddlefrontal,R_superiorparietal,8.4237
R_caudalmiddlefrontal,R_insula,6.1839
R_cuneus,R_fusiform,5.6100
R_cuneus,R_inferiortemporal,4.8651
R_cuneus,R_isthmuscingulate,7.8849
R_cuneus,R_lateraloccipital,9.7471
R_cuneus,R_lingual,9.8529
R_cuneus,R_middletemporal,4.8213
R_cuneus,R_parahippocampal,6.6696
R_cuneus,R_pericalcarine,11.3411
R_cuneus,R_precuneus,9.4697
R_cuneus,R_superiorparietal,10.2032
R_cuneus,R_insula,5.8822
R_entorhinal,R_fusiform,8.7737
R_entorhinal,R_inferiortemporal,6.6293
R_entorhinal,R_isthmuscingulate,6.0198
R_entorhinal,R_lingual,5.2681
R_entorhinal,R_middletemporal,4.2053
R_entorhinal,R_parahippocampal,8.6552
R_entorhinal,R_precuneus,6.7532
R_entorhinal,R_rostralanteriorcingulate,3.0975
R_entorhinal,R_superiorfrontal,5.4609
R_entorhinal,R_superiorparietal,5.6454
R_entorhinal,R_temporalpole,8.7391
R_entorhinal,R_insula,8.6695
R_fusiform,R_inferiorparietal,9.2855
R_fusiform,R_inferiortemporal,10.6097
R_fusiform,R_isthmuscingulate,6.1486
R_fusiform,R_lateraloccipital,10.8359
R_fusiform,R_lingual,10.1237
R_fusiform,R_middletemporal,7.0783
R_fusiform,R_parahippocampal,9.4521
R_fusiform,R_precuneus,6.3316
R_fusiform,R_rostralmiddlefrontal,7.2419
R_fusiform,R_superiorparietal,9.2984
R_fusiform,R_superiortemporal,6.6331
R_fusiform,R_temporalpole,7.9746
R_fusiform,R_insula,7.1154
R_inferiorparietal,R_inferiortemporal,10.1069
R_inferiorparietal,R_lateraloccipital,10.4373
R_inferiorparietal,R_medialorbitofrontal,2.1547
R_inferiorparietal,R_middletemporal,10.9807
R_inferiorparietal,R_parahippocampal,5.5812
R_inferiorparietal,R_parsopercularis,8.1469
R_inferiorparietal,R_parsorbitalis,7.2478
R_inferiorparietal,R_parstriangularis,8.1723
R_inferiorparietal,R_postcentral,8.0790
R_inferiorparietal,R_precentral,8.6006
R_inferiorparietal,R_rostralmiddlefrontal,9.6323
R_inferiorparietal,R_superiorfrontal,7.6514
R_inferiorparietal,R_superiorparietal,11.7067
R_inferiorparietal,R_superiortemporal,9.5240
R_inferiorparietal,R_supramarginal,10.6848
R_inferiorparietal,R_insula,8.0551
R_inferiortemporal,R_isthmuscingulate,4.7724
R_inferiortemporal,R_lateraloccipital,9.4633
R_inferiortemporal,R_lingual,7.8715
R_inferiortemporal,R_middletemporal,10.8019
R_inferiortemporal,R_parahippocampal,7.0385
R_inferiortemporal,R_parsorbitalis,6.2688
R_inferiortemporal,R_parstriangularis,6.7692
R_inferiortemporal,R_superiorparietal,7.1217
R_inferiortemporal,R_superiortemporal,6.8970
R_inferiortemporal,R_supramarginal,6.2276
R_inferiortemporal,R_temporalpole,8.5058
R_inferiortemporal,R_insula,7.5985
R_isthmuscingulate,R_lateraloccipital,4.9185
R_isthmuscingulate,R_lateralorbitofrontal,5.8907
R_isthmuscingulate,R_lingual,8.6392
R_isthmuscingulate,R_medialorbitofrontal,5.9864
R_isthmuscingulate,R_parahippocampal,8.3869
R_isthmuscingulate,R_pericalcarine,6.7622
R_isthmuscingulate,R_posteriorcingulate,9.1522
R_isthmuscingulate,R_precuneus,10.7707
R_isthmuscingulate,R_rostralanteriorcingulate,6.8623
R_isthmuscingulate,R_rostralmiddlefrontal,5.1263
R_isthmuscingulate,R_superiorfrontal,8.5511
R_isthmuscingulate,R_superiorparietal,8.4373
R_isthmuscingulate,R_temporalpole,3.4008
R_isthmuscingulate,R_insula,5.5973
R_lateraloccipital,R_lateralorbitofrontal,6.4168
R_lateraloccipital,R_lingual,10.2057
R_lateraloccipital,R_middletemporal,9.0750
R_lateraloccipital,R_parahippocampal,5.9987
R_lateraloccipital,R_parsorbitalis,5.0101
R_lateraloccipital,R_pericalcarine,9.7025
R_lateraloccipital,R_rostralmiddlefrontal,6.3110
R_lateraloccipital,R_superiorparietal,10.5058
R_lateraloccipital,R_superiortemporal,9.0228
R_lateraloccipital,R_temporalpole,5.3537
R_lateraloccipital,R_insula,9.1606
R_lateralorbitofrontal,R_lingual,6.4581
R_lateralorbitofrontal,R_medialorbitofrontal,10.1550
R_lateralorbitofrontal,R_middletemporal,7.9896
R_lateralorbitofrontal,R_parahippocampal,4.2967
R_lateralorbitofrontal,R_parsopercularis,6.6425
R_lateralorbitofrontal,R_parsorbitalis,10.1037
R_lateralorbitofrontal,R_parstriangularis,8.6982
R_lateralorbitofrontal,R_pericalcarine,4.3474
R_lateralorbitofrontal,R_posteriorcingulate,5.2321
R_lateralorbitofrontal,R_precuneus,6.0511
R_lateralorbitofrontal,R_rostralanteriorcingulate,8.2221
R_lateralorbitofrontal,R_rostralmiddlefrontal,9.3475
R_lateralorbitofrontal,R_superiorfrontal,6.1825
R_lateralorbitofrontal,R_superiortemporal,8.1266
